|||Columns||||||||||||
Rows|||Turkey||||||||||||
|||||||||||||||
|||01-January|02-February|03-March|04-April|05-May|06-June|07-July|08-August|09-September|10-October|11-November|12-December|
||2021|558.81|563.91|568.91|583.74|584.91|606.75|616.33|632.42|666.85|683.2|708.1|775.84|
||2022|844.15|941.62|1061.1|1100.2|1190.5|1211.45|1225.88|1275.43|1356.82|1436.03|1480.76|1500.88|
||2023|1535.8|1552.63|1562.6|1569.15|1577.74|1590.28|1631.59|1767.26|1828.41|1886.47|1932.49|1920.23|
||2024|1992.36|2103.08|2237.27|2280.74|2351.88|2374.02|2381.87|2444.96|2479.53|2502.46|2505.37|2517.04|
||2025|2543.67|2574.37|2608.39|2634.43|2659.64|2688.49|2693.99|2693.9|2740.35|2753.22|2758.87||
|093. (Other Recreational Items And Equipment, Gardens And Pets)|2005|120.99|122.42|123.16|124.65|125.53|125.99|125.42|124.62|125.42|126.25|126.48|127.21|
||2006|128.03|128.65|129.7|130.83|132.57|136.05|140.12|143.85|145.42|147.96|149.5|150.14|
||2007|150.32|151.19|151.94|152.18|152.94|153.63|153.76|153.87|154.52|155.05|155.67|156.12|
||2008|156.07|156.37|157.59|159.14|160.3|161.96|163.72|163.65|164.1|164.89|166.94|168.35|
||2009|169.22|169.52|171.66|173.14|174.48|174.24|175.17|174.38|175.84|178.43|179.82|180.48|
||2010|179.58|179.88|180.41|181.69|182.25|183.05|183.78|184.43|186.31|186.0|186.25|186.46|
||2011|185.74|186.24|189.22|190.59|191.84|192.35|192.66|193.61|197.3|201.28|205.19|207.91|
||2012|211.0|211.79|215.41|217.56|219.01|221.89|222.61|223.88|227.33|228.76|230.01|231.07|
||2013|231.86|232.66|233.32|235.9|237.58|240.46|241.18|243.21|245.75|248.52|251.3|256.52|
||2014|258.37|264.27|272.31|277.96|280.31|283.07|285.06|286.33|291.79|294.8|296.68|299.22|
||2015|300.94|302.07|304.67|304.57|309.04|310.29|308.77|312.07|313.82|320.58|319.07|319.08|
||2016|322.3|320.2|324.23|327.41|327.42|324.16|322.1|329.61|329.46|327.5|326.18|326.43|
||2017|327.5|333.44|337.37|339.61|342.23|342.02|340.51|341.19|345.16|346.94|351.75|354.38|
||2018|357.25|355.85|360.04|369.82|370.61|365.7|372.1|382.64|412.36|433.76|439.29|435.27|
||2019|440.21|448.4|456.57|460.02|457.17|439.87|457.67|461.69|464.85|459.85|472.45|468.55|
||2020|472.37|458.36|475.89|479.73|487.46|504.75|509.62|506.05|508.26|499.92|518.43|510.99|
||2021|532.73|494.78|541.84|555.53|529.86|553.35|549.52|562.93|565.21|540.99|576.21|650.96|
||2022|710.28|722.74|763.88|841.78|894.48|924.52|971.7|992.43|996.19|921.67|971.12|996.67|
||2023|1131.88|1114.95|1169.23|1176.3|1208.13|1201.69|1264.63|1346.31|1402.41|1356.54|1419.99|1501.22|
||2024|1611.42|1594.78|1719.91|1776.83|1792.94|1849.32|1849.37|1887.04|1938.63|1835.84|1945.77|1981.27|
||2025|2078.36|1951.11|2127.21|2077.3|2176.8|2200.13|2276.53|2278.1|2227.01|2160.95|2306.51||
|094. (Recreational And Cultural Services)|2005|129.86|132.04|132.85|132.78|133.31|134.68|134.96|136.98|140.19|140.61|140.75|140.52|
||2006|140.64|139.47|139.16|140.66|143.67|144.03|144.06|143.42|146.57|145.22|145.88|146.53|
||2007|147.55|149.17|146.71|150.26|151.54|155.76|156.0|158.33|158.43|158.61|160.35|158.49|
||2008|156.19|153.61|159.61|158.01|160.46|160.67|160.35|163.44|161.56|161.68|163.44|163.74|
||2009|165.78|163.41|158.47|161.89|159.71|159.16|159.34|167.42|185.15|187.52|181.71|179.33|
||2010|180.44|179.7|182.31|183.5|180.51|180.48|180.77|182.95|188.26|188.03|185.01|189.08|
||2011|192.61|190.11|190.53|192.04|191.94|191.36|191.39|191.79|195.01|196.13|194.62|196.34|
||2012|204.59|205.64|206.23|207.08|207.38|208.6|208.69|209.56|213.52|217.52|214.57|216.34|
||2013|218.73|217.14|218.8|219.76|221.46|221.97|222.31|223.57|228.43|229.12|229.03|232.45|
||2014|234.57|233.76|235.12|238.56|237.63|238.0|238.87|240.26|244.8|248.4|248.7|246.07|
||2015|254.85|256.02|256.05|258.09|258.88|262.08|262.74|268.75|270.48|271.95|273.91|272.49|
||2016|278.45|278.55|280.11|285.6|284.17|280.86|282.85|285.9|289.29|289.07|292.41|295.45|
||2017|298.1|299.37|302.01|302.91|304.81|294.8|295.7|298.4|303.49|304.85|304.97|306.75|
||2018|314.59|316.68|317.8|319.06|319.09|320.54|323.03|327.87|332.64|338.97|343.19|342.29|
||2019|347.4|348.46|352.51|351.66|350.93|353.17|355.54|360.42|367.47|371.91|372.7|373.93|
||2020|384.08|387.22|386.29|386.41|386.5|387.82|389.27|394.44|402.77|404.71|407.17|407.63|
||2021|411.24|415.21|419.75|417.23|417.53|440.55|451.32|456.5|464.03|469.74|475.84|484.52|
||2022|516.01|535.89|548.78|565.11|581.85|591.57|617.82|647.46|665.02|683.92|697.83|717.33|
||2023|824.33|841.3|855.49|878.95|912.6|935.64|993.86|1098.96|1152.61|1215.88|1239.42|1304.6|
||2024|1471.69|1522.18|1568.02|1644.35|1728.45|1758.82|1805.9|1887.76|1960.37|1989.14|2017.17|2030.34|
||2025|2256.16|2320.65|2359.42|2438.54|2497.22|2559.92|2606.33|2682.68|2747.73|2811.6|2847.05||
|095. (Newspapers, Books And Stationery)|2005|121.89|120.26|113.97|114.46|117.56|119.72|120.95|120.29|123.35|127.65|128.5|128.51|
||2006|129.36|131.04|128.01|133.28|132.11|131.25|134.29|136.07|138.51|142.81|141.55|141.53|
||2007|141.62|142.37|145.19|146.54|144.76|146.08|146.77|148.59|148.5|148.33|148.83|149.36|
||2008|148.46|149.81|147.68|147.06|149.82|151.72|153.97|153.68|156.95|155.86|158.92|161.16|
||2009|164.53|167.82|170.94|183.89|187.97|186.06|203.82|203.41|203.4|204.17|205.85|206.97|
||2010|209.68|206.42|204.88|204.68|205.92|209.16|209.15|210.14|214.03|210.03|206.9|202.8|
||2011|201.51|204.38|207.61|207.87|215.91|213.8|208.92|212.54|213.74|219.09|217.51|224.8|
||2012|225.04|223.96|222.37|225.01|230.42|232.49|231.25|234.77|232.59|232.78|237.82|233.27|
||2013|236.64|232.95|234.26|241.18|239.31|244.23|242.4|238.64|236.9|248.85|259.86|250.64|
||2014|257.56|256.22|253.3|256.55|263.64|267.41|272.99|276.0|275.22|276.12|275.7|281.56|
||2015|283.03|287.39|290.06|292.61|296.79|297.45|298.29|299.97|308.39|314.97|316.46|317.03|
||2016|321.24|328.48|329.4|337.36|333.37|338.29|336.87|340.0|343.89|345.62|345.57|346.26|
||2017|353.6|361.22|367.64|370.93|373.23|380.57|383.5|386.37|393.5|396.79|400.09|402.4|
||2018|409.83|414.81|417.75|423.61|425.28|426.82|432.7|444.63|490.71|509.13|511.55|507.35|
||2019|510.18|514.73|504.77|507.28|511.02|513.29|517.66|521.85|527.19|536.84|542.72|542.01|
||2020|543.02|544.59|547.55|520.34|525.77|555.56|558.09|564.66|572.06|573.61|577.9|580.94|
||2021|584.61|587.94|590.95|598.53|583.55|610.12|617.88|626.28|642.0|646.8|668.1|747.19|
||2022|816.32|854.94|891.47|922.24|967.66|1003.05|1082.64|1138.6|1190.64|1259.64|1286.3|1328.82|
||2023|1372.46|1398.3|1441.87|1455.89|1522.54|1564.65|1656.09|1796.39|1878.72|1918.34|1938.79|1977.84|
||2024|2167.67|2357.78|2442.84|2482.18|2568.73|2612.67|2707.16|2835.55|2893.6|2947.61|2983.1|3048.97|
||2025|3105.16|3127.83|3174.93|3216.47|3272.46|3304.36|3439.46|3532.29|3587.75|3641.71|3681.9||
|096. (Package Holidays)|2005|111.52|110.47|108.63|106.36|113.34|119.3|124.9|129.68|117.15|113.11|109.79|111.4|
||2006|111.33|100.95|102.61|115.03|122.07|139.02|140.34|146.46|146.36|154.95|145.12|155.16|
||2007|152.72|144.78|145.19|145.98|141.1|146.97|154.25|155.25|149.77|154.76|150.54|151.93|
||2008|148.16|150.94|152.88|154.63|165.27|171.7|175.95|175.84|171.93|169.95|171.71|175.47|
||2009|174.3|174.32|172.74|170.82|171.67|199.67|199.87|197.15|197.06|198.47|195.61|190.71|
||2010|188.8|188.94|192.29|193.88|194.25|186.83|193.02|190.42|188.95|183.82|183.6|184.09|
||2011|182.44|183.36|184.77|189.46|196.41|226.94|255.02|254.3|249.52|244.03|247.53|242.74|
||2012|242.27|240.66|240.75|242.4|247.77|256.69|260.08|260.91|254.34|247.02|243.46|243.14|
||2013|242.71|242.06|241.68|246.94|254.59|270.95|275.17|287.08|276.49|265.33|254.29|252.72|
||2014|261.45|261.77|264.6|258.96|263.58|280.72|323.07|333.97|324.06|311.9|283.04|278.88|
||2015|270.64|278.33|289.87|305.81|310.36|369.87|374.87|387.48|390.66|372.95|351.69|352.3|
||2016|360.85|346.61|336.63|332.76|369.59|374.82|392.26|387.68|368.11|347.81|363.67|378.45|
||2017|385.58|363.43|388.21|399.52|457.98|471.83|499.09|502.04|476.0|420.1|405.32|397.33|
||2018|399.67|442.85|449.14|480.77|508.84|551.75|578.74|588.58|565.4|550.39|517.19|514.06|
||2019|606.51|582.0|593.72|624.71|692.06|719.82|745.75|744.83|691.99|658.67|650.2|646.86|
||2020|686.07|697.02|698.82|698.82|698.82|720.2|761.83|782.44|755.22|726.6|716.89|713.87|
||2021|714.12|714.52|716.63|721.69|731.85|766.3|792.2|800.42|765.5|741.5|732.82|736.58|
||2022|740.99|746.63|766.57|777.19|1329.34|1375.81|1388.17|1391.16|1437.73|1400.57|1411.14|1410.12|
||2023|1443.0|1474.44|1634.9|1799.62|1926.83|1962.41|2067.04|2172.16|2390.98|2369.62|2447.39|2697.38|
||2024|2800.05|2974.76|3044.33|3038.02|3066.27|3080.99|3070.49|3056.1|3065.1|3075.41|3286.05|3316.54|
||2025|3390.14|3364.77|3443.02|3505.95|3520.82|3515.9|3563.94|3596.97|3625.58|3694.11|4166.51||
|10. (Education)|2005|130.87|130.31|130.18|130.06|130.53|134.76|135.98|136.93|140.37|140.49|140.69|140.69|
||2006|140.73|140.7|140.91|141.07|141.47|144.24|145.8|146.39|151.74|151.67|151.51|151.56|
||2007|151.56|151.68|151.53|152.06|152.68|156.07|157.19|157.6|161.19|160.88|160.68|160.6|
||2008|160.64|160.59|161.22|161.42|162.89|166.78|168.22|169.07|172.52|172.14|172.5|172.36|
||2009|172.35|171.76|171.94|172.11|173.31|174.92|176.54|176.91|181.33|181.64|181.79|181.79|
||2010|181.91|181.94|182.59|182.43|183.53|185.44|187.08|187.34|189.52|189.69|189.43|189.52|
||2011|189.59|189.85|190.41|190.89|193.06|195.78|197.2|197.81|201.35|201.83|201.97|201.79|
||2012|201.69|201.91|202.26|203.32|205.55|208.99|211.26|213.27|210.73|211.31|211.46|211.5|
||2013|211.72|212.43|212.62|213.91|217.61|221.93|223.73|226.4|232.1|232.74|232.74|232.76|
||2014|232.89|233.39|233.84|236.1|238.43|242.53|243.97|245.79|250.17|251.47|252.09|252.11|
||2015|252.16|251.97|252.48|254.71|255.87|257.66|258.97|262.61|264.93|267.65|268.11|268.22|
||2016|268.44|268.74|270.01|272.37|275.21|277.82|279.41|286.71|292.4|293.3|293.59|293.62|
||2017|293.76|293.81|296.58|298.63|301.31|304.47|307.66|316.25|322.84|324.03|324.3|324.39|
||2018|325.12|325.77|328.83|331.06|334.48|337.33|340.92|343.62|357.3|357.32|357.38|357.45|
||2019|357.71|363.56|368.84|373.49|378.42|384.11|387.55|404.05|407.32|408.07|408.68|409.15|
||2020|411.75|415.3|418.17|419.61|420.78|428.92|436.37|438.38|438.08|438.1|437.27|437.14|
||2021|437.0|440.77|452.99|462.46|465.25|475.51|482.69|485.51|510.5|511.38|511.79|512.48|
||2022|518.57|538.78|574.08|590.69|593.12|607.51|612.13|652.23|697.79|700.33|702.09|703.46|
||2023|734.81|776.63|825.57|851.01|894.78|915.55|940.04|969.31|1262.74|1266.39|1274.22|1280.69|
||2024|1321.25|1489.88|1684.75|1734.87|1832.52|1896.16|1922.36|2140.36|2444.56|2452.54|2452.77|2454.37|
||2025|2641.58|2903.73|3039.63|3108.85|3145.81|3286.64|3374.43|3444.14|4060.48|4063.68|4075.8||
|101. (Pre-Primary And Primary Education)|2005|133.37|132.86|132.93|132.83|132.82|140.03|141.87|142.69|143.74|144.16|144.15|144.12|
||2006|144.16|143.96|143.94|143.96|144.86|150.81|151.95|152.41|154.99|155.53|155.6|155.61|
||2007|155.63|155.68|155.68|155.72|158.0|163.22|165.87|167.06|171.09|167.42|166.82|166.52|
||2008|166.53|166.19|165.93|166.02|167.76|174.68|176.53|178.02|189.49|189.52|189.69|189.7|
||2009|189.69|189.71|189.73|189.9|191.12|196.37|198.68|199.36|205.62|205.9|206.04|206.17|
||2010|206.19|206.19|206.19|206.18|209.16|213.96|216.68|217.46|218.42|217.77|216.05|215.89|
||2011|215.85|215.85|215.85|216.73|222.03|228.25|231.92|231.22|229.6|229.77|230.29|229.88|
||2012|229.02|229.01|229.0|230.51|236.82|241.86|247.04|248.79|253.07|254.59|254.68|254.74|
||2013|254.64|254.73|253.28|255.21|260.01|266.99|270.55|272.79|280.98|282.73|282.71|282.71|
||2014|282.7|282.93|282.63|288.32|292.18|298.28|300.52|302.55|305.96|307.21|307.63|307.84|
||2015|307.8|307.71|309.01|314.22|317.06|321.41|323.52|327.61|333.26|336.6|337.1|337.44|
||2016|337.43|338.08|340.95|345.66|350.26|355.15|357.88|361.38|377.93|378.82|378.84|379.1|
||2017|379.39|379.7|385.36|389.34|394.65|398.22|404.17|407.36|423.48|424.32|424.39|424.44|
||2018|424.81|424.78|431.86|436.97|442.84|445.82|452.22|455.45|468.5|469.36|469.35|469.77|
||2019|469.59|484.24|495.66|506.6|516.07|526.25|532.53|539.03|542.21|541.94|541.94|542.41|
||2020|548.13|555.19|562.11|565.21|568.46|586.99|602.61|607.31|586.6|584.99|583.1|583.1|
||2021|582.65|589.53|614.25|631.05|637.72|661.6|676.29|682.05|686.65|686.65|686.65|686.65|
||2022|692.69|735.01|804.62|836.6|838.29|862.36|864.27|877.65|892.49|892.96|892.96|892.96|
||2023|940.08|1030.3|1130.69|1175.77|1246.85|1285.5|1310.64|1333.52|1353.36|1354.59|1354.59|1354.59|
||2024|1401.62|1688.56|2044.47|2133.69|2304.99|2406.28|2445.44|2502.15|2539.16|2541.32|2541.32|2541.32|
||2025|2841.81|3318.81|3549.32|3646.7|3705.31|3956.3|4103.44|4200.64|4343.38|4343.38|4343.38||
|102. (Secondary Education)|2005|131.17|132.65|132.64|132.65|132.65|143.23|146.04|147.33|147.35|147.44|147.81|147.81|
||2006|147.82|147.82|147.82|147.82|148.82|156.92|159.45|159.93|160.81|161.12|161.12|161.12|
||2007|161.23|161.43|160.77|162.29|163.76|169.79|171.41|171.86|172.51|172.64|172.65|172.63|
||2008|172.67|172.67|175.06|176.73|179.68|185.21|186.83|187.61|187.62|186.09|186.11|186.0|
||2009|186.0|185.07|184.71|184.51|186.81|189.47|192.25|192.59|193.33|193.08|193.12|193.12|
||2010|193.3|194.38|195.58|196.17|197.54|200.99|202.91|203.23|204.81|204.92|205.0|205.21|
||2011|205.29|205.46|206.09|207.05|210.53|214.3|216.8|217.57|218.38|218.38|218.36|218.37|
||2012|218.26|218.8|219.27|221.03|223.95|229.33|232.54|236.95|238.65|239.11|239.13|239.15|
||2013|239.62|240.7|242.26|243.95|251.31|257.05|259.91|264.42|267.95|268.12|268.36|268.23|
||2014|268.58|269.51|270.11|271.8|274.93|281.77|283.95|286.05|289.03|290.52|291.81|291.99|
||2015|291.97|291.61|291.89|295.47|297.49|299.58|300.72|302.29|303.29|306.48|306.66|306.67|
||2016|306.72|308.87|312.28|317.49|323.84|330.72|333.46|335.33|336.79|338.04|338.04|337.7|
||2017|338.16|337.77|343.48|348.25|353.77|360.59|366.05|369.4|371.59|372.54|372.78|372.77|
||2018|373.97|375.41|380.45|384.06|391.02|399.81|407.84|411.83|413.66|413.72|413.66|413.74|
||2019|412.62|422.06|432.07|439.2|447.85|457.24|462.5|470.43|472.69|472.72|472.72|473.29|
||2020|478.22|484.68|489.83|492.75|494.64|510.06|523.49|526.68|507.93|505.79|503.84|503.84|
||2021|503.21|510.25|530.67|548.63|552.6|568.33|579.57|584.5|588.12|588.23|588.23|588.27|
||2022|593.82|625.42|687.02|712.82|713.14|737.8|741.31|753.18|763.2|763.45|763.45|763.45|
||2023|802.81|867.55|949.13|990.64|1058.72|1075.04|1096.75|1118.89|1143.38|1144.4|1144.4|1144.4|
||2024|1197.2|1457.95|1768.48|1840.16|1983.64|2066.98|2097.75|2137.66|2161.26|2163.08|2163.08|2163.08|
||2025|2448.7|2834.64|3040.88|3150.62|3195.05|3394.55|3523.31|3598.63|3689.48|3689.48|3689.48||
|103. (Post-Secondary Non-Tertiary Education)|2005|130.83|129.47|129.22|129.13|130.56|134.89|136.2|137.65|140.17|139.65|139.66|139.66|
||2006|139.74|139.64|140.11|140.49|140.78|142.58|143.93|144.01|144.68|143.21|142.34|142.39|
||2007|142.27|142.29|142.1|142.92|142.87|147.3|148.38|148.67|149.06|149.27|148.93|148.74|
||2008|148.69|148.69|149.22|148.73|150.19|154.25|156.11|156.54|156.16|153.35|154.17|153.79|
||2009|153.78|152.76|153.2|153.63|155.1|156.42|158.13|158.98|160.97|161.23|161.32|161.31|
||2010|161.53|161.12|162.17|161.54|162.38|163.97|166.31|166.57|166.59|166.88|166.93|167.09|
||2011|167.18|167.82|168.94|169.41|171.15|174.14|175.38|176.92|178.9|179.84|179.87|179.55|
||2012|179.95|179.95|180.62|181.36|182.93|187.76|189.32|191.94|193.91|194.01|194.16|194.18|
||2013|194.83|196.32|197.61|199.74|203.47|208.03|208.84|212.1|213.81|213.9|213.52|213.66|
||2014|214.04|215.58|217.35|218.38|220.53|225.23|227.13|228.99|230.53|231.1|232.07|232.17|
||2015|232.19|231.68|231.75|231.82|231.82|231.82|231.82|231.82|231.83|234.21|234.84|234.84|
|104. (Tertiary Education)|2005|129.67|129.67|129.67|129.67|129.67|129.67|129.67|129.67|137.8|137.8|137.8|137.8|
||2006|137.8|137.8|137.8|137.8|137.8|137.8|139.76|141.01|154.94|155.64|155.72|155.74|
||2007|155.74|155.74|155.74|155.74|155.74|155.74|156.01|156.29|165.79|166.09|166.09|166.09|
||2008|166.09|166.09|166.09|166.09|166.09|166.09|167.05|168.41|175.53|178.91|178.91|178.91|
||2009|178.91|178.91|178.91|179.23|179.23|179.23|179.23|179.23|190.83|190.83|190.83|190.83|
||2010|190.83|190.83|190.83|190.83|190.83|190.83|190.83|190.83|198.75|198.75|198.75|198.75|
||2011|198.75|198.75|198.75|198.75|198.75|198.75|198.75|198.75|210.01|210.01|210.01|210.01|
||2012|210.11|210.11|210.11|210.11|210.11|210.11|210.11|210.11|186.8|186.94|186.94|186.94|
||2013|186.94|186.94|186.94|186.94|186.94|186.94|186.94|186.94|199.18|199.18|199.18|199.18|
||2014|199.18|199.18|199.18|199.18|199.18|199.18|199.18|200.4|215.35|215.35|215.35|215.35|
||2015|215.35|215.35|215.35|215.35|215.35|215.35|217.32|227.16|228.22|229.52|229.52|229.52|
||2016|229.52|229.52|229.52|229.52|229.52|229.52|229.52|245.56|247.27|247.69|247.69|247.69|
||2017|247.69|247.69|247.69|247.69|247.69|247.69|247.69|266.76|271.29|271.29|271.29|271.29|
||2018|271.29|271.29|271.29|271.29|271.29|271.29|271.29|271.29|296.86|296.86|296.86|296.86|
||2019|296.86|296.86|296.86|296.86|296.86|296.86|296.86|332.12|333.4|333.4|333.4|333.4|
||2020|333.4|333.4|333.4|333.4|333.4|333.4|333.4|333.4|354.87|354.31|353.56|353.56|
||2021|353.56|353.56|353.56|353.56|353.56|353.56|353.56|353.56|419.73|419.73|419.73|419.73|
||2022|419.73|419.73|419.73|419.73|419.73|419.73|419.73|521.48|639.86|641.26|641.26|641.26|
||2023|641.26|641.26|641.26|641.26|641.26|641.26|641.26|641.26|1460.3|1460.3|1466.3|1466.3|
||2024|1466.3|1466.3|1466.3|1466.3|1466.3|1466.3|1466.3|2099.73|3050.38|3050.38|3050.38|3050.38|
||2025|3050.38|3050.38|3050.38|3050.38|3050.38|3050.38|3050.38|3105.32|5020.37|5020.37|5020.37||
|105. (Education Not Definable By Level)|2005|129.64|125.29|124.32|123.27|123.64|123.44|124.12|126.44|127.71|130.56|132.38|132.5|
||2006|132.62|132.97|133.97|134.51|134.75|135.67|135.23|135.61|138.44|138.89|139.73|140.07|
||2007|140.23|141.2|141.56|141.5|141.52|142.63|142.4|142.16|143.63|144.98|144.95|145.4|
||2008|146.03|146.18|146.44|146.73|147.66|149.78|149.14|149.08|150.06|152.44|153.02|153.28|
||2009|153.27|152.88|154.1|153.55|153.38|149.75|150.2|148.59|152.48|155.24|156.45|156.17|
||2010|156.3|155.49|156.0|155.11|155.35|153.62|153.65|153.31|154.34|155.99|155.94|156.26|
||2011|156.55|156.82|157.53|157.58|158.05|158.18|157.57|158.45|163.57|165.03|165.48|165.31|
||2012|165.27|166.03|166.73|168.07|167.21|167.56|168.34|168.86|170.53|171.3|171.99|172.13|
||2013|172.25|173.16|173.34|173.0|174.06|175.72|176.28|179.3|184.03|184.67|184.97|185.05|
||2014|185.02|184.79|185.22|185.49|186.87|188.11|188.25|190.13|191.07|194.89|195.5|194.89|
||2015|195.32|195.33|195.7|196.25|196.21|197.16|198.24|201.53|203.3|206.69|207.75|207.78|
||2016|208.96|207.07|205.83|205.8|207.28|206.31|207.89|211.57|213.89|215.29|216.91|217.11|
||2017|216.89|217.29|217.68|217.46|218.05|222.3|225.26|226.85|230.85|235.59|236.78|237.3|
||2018|239.57|241.49|242.58|243.6|245.47|244.5|244.78|251.23|259.07|257.78|258.29|258.02|
||2019|262.55|263.04|263.15|265.47|268.91|275.41|279.97|282.32|293.45|299.38|303.9|305.45|
||2020|306.02|308.42|308.81|308.81|308.81|309.64|313.91|315.4|322.29|331.38|334.46|333.44|
||2021|334.78|335.27|340.57|341.67|343.49|347.66|352.82|353.34|363.83|370.75|374.14|379.69|
||2022|402.81|414.31|423.0|436.69|451.92|462.35|485.3|496.43|512.25|526.8|540.14|550.47|
||2023|624.07|651.83|674.77|698.52|757.44|823.93|922.24|1059.99|1158.0|1182.2|1228.26|1279.11|
||2024|1379.48|1469.68|1493.23|1533.62|1603.15|1705.61|1765.49|1824.82|1921.93|1986.58|1988.77|2003.87|
||2025|2116.24|2204.83|2263.38|2318.89|2390.22|2480.61|2540.07|2578.41|2642.14|2674.76|2798.67||
|11. (Hotels, Cafes And Restaurants)|2005|124.44|126.28|129.26|130.48|131.7|132.69|133.97|134.86|137.06|139.29|140.57|141.29|
||2006|142.75|144.43|145.56|147.23|150.47|151.74|152.82|153.94|156.9|158.8|159.93|160.42|
||2007|162.23|163.24|164.59|165.48|166.9|167.79|168.6|169.79|171.6|174.25|176.84|177.85|
||2008|179.62|181.23|183.42|186.61|189.71|191.82|193.61|195.12|197.13|199.31|201.29|201.75|
||2009|203.32|204.52|205.55|206.39|207.22|208.0|208.87|209.79|211.59|214.21|215.15|216.5|
||2010|218.9|221.46|223.64|226.23|228.27|228.73|229.51|230.58|232.29|234.8|236.84|237.63|
||2011|239.44|240.51|241.55|242.75|244.71|245.89|247.39|248.98|251.72|254.23|255.81|257.12|
||2012|259.06|260.24|262.23|265.36|267.79|269.09|270.56|272.23|276.25|278.11|279.96|281.06|
||2013|283.73|285.13|286.89|289.15|291.31|293.13|294.84|297.09|301.48|304.32|306.28|308.77|
||2014|314.1|318.55|322.79|325.23|328.83|331.87|335.34|340.85|344.98|347.96|350.15|351.95|
||2015|355.13|358.89|363.99|368.6|373.02|377.07|381.63|389.47|393.24|395.88|397.2|398.51|
||2016|402.81|405.97|408.61|410.45|412.54|414.58|419.63|423.08|425.9|428.88|430.96|432.87|
||2017|437.38|441.13|444.22|448.49|452.46|457.12|465.12|469.91|474.68|478.02|480.22|482.5|
||2018|487.35|492.0|496.07|501.78|509.07|517.92|529.6|539.58|565.3|573.91|576.29|578.07|
||2019|584.28|589.39|593.31|600.02|609.71|625.87|634.74|639.51|649.38|652.6|651.59|654.18|
||2020|663.25|668.69|674.5|675.32|676.43|695.55|704.05|715.0|720.26|725.37|733.6|737.25|
||2021|748.72|758.58|778.33|788.85|796.33|826.76|849.27|868.59|887.83|908.36|945.62|1038.39|
||2022|1126.11|1177.29|1248.45|1335.19|1408.17|1484.48|1521.38|1571.7|1609.96|1652.46|1704.95|1749.45|
||2023|1972.21|2052.51|2131.51|2221.87|2379.55|2482.39|2778.32|2975.44|3098.92|3207.76|3288.15|3380.6|
||2024|3792.03|3997.92|4155.88|4350.91|4591.01|4733.07|4890.87|4989.92|5125.8|5199.55|5240.77|5311.78|
||2025|5656.88|5833.16|5958.51|6172.43|6285.48|6417.44|6561.51|6684.69|6863.98|6955.87|7017.75||
|111. (Catering Services)|2005|126.0|128.18|129.64|130.21|132.02|133.06|134.08|134.87|135.85|137.89|139.43|140.44|
||2006|141.77|143.3|144.75|146.15|147.57|148.34|149.62|150.96|152.44|154.07|155.68|156.56|
||2007|158.22|159.17|160.57|161.51|163.01|163.95|164.74|165.87|167.38|170.24|172.96|174.06|
||2008|175.22|176.98|179.21|182.55|185.87|188.09|189.93|191.48|193.36|195.48|197.51|198.0|
||2009|199.1|200.37|201.36|202.32|203.2|203.94|204.89|205.88|207.58|210.34|211.35|212.8|
||2010|215.2|217.95|220.21|222.78|224.87|225.36|226.09|227.24|228.97|231.57|233.76|234.72|
||2011|236.23|237.3|238.26|239.4|241.21|242.34|243.72|245.19|247.94|250.45|252.3|253.75|
||2012|255.52|256.86|258.88|261.83|264.54|265.86|267.33|269.1|273.01|274.84|276.9|278.04|
||2013|280.44|281.86|283.7|286.03|288.23|290.07|292.07|294.42|298.35|301.33|303.68|306.42|
||2014|311.3|316.14|320.36|323.11|326.92|330.23|333.92|339.64|344.04|347.19|350.0|352.53|
||2015|355.81|359.73|364.54|369.37|374.18|378.28|383.64|391.31|394.94|398.82|401.02|402.68|
||2016|406.6|410.31|413.29|415.36|417.84|421.08|426.59|430.16|433.19|435.94|438.6|440.92|
||2017|445.69|450.33|453.59|458.22|462.57|468.06|476.25|480.6|484.03|487.82|490.43|493.28|
||2018|498.83|503.77|507.06|512.22|519.41|528.78|540.26|547.64|573.58|586.24|590.88|593.14|
||2019|599.32|605.2|609.2|615.0|625.19|639.4|648.52|652.82|659.45|664.38|666.31|669.67|
||2020|678.8|685.05|692.56|693.71|695.16|716.86|724.76|735.34|741.44|747.19|757.37|762.51|
||2021|774.67|785.62|806.62|817.48|826.01|856.69|878.87|898.18|916.37|935.0|974.62|1073.68|
||2022|1165.48|1223.38|1299.83|1397.32|1469.36|1542.22|1580.67|1632.76|1676.13|1723.6|1783.05|1836.5|
||2023|2073.89|2166.74|2259.58|2361.51|2526.6|2621.5|2924.58|3139.52|3269.45|3404.65|3504.2|3615.4|
||2024|4074.01|4312.1|4492.9|4708.07|4968.9|5114.28|5276.55|5377.31|5478.55|5576.97|5644.37|5730.56|
||2025|6110.51|6315.35|6465.67|6688.87|6797.2|6920.61|7064.9|7198.75|7339.22|7463.11|7563.99||
|112. (Accommodation Services)|2005|122.45|123.87|128.77|130.81|131.28|132.2|133.81|134.83|138.56|141.04|142.0|142.35|
||2006|144.0|145.89|146.57|148.59|154.38|156.34|157.16|157.95|162.99|165.25|165.7|165.66|
||2007|168.61|169.96|170.6|170.84|171.12|171.28|172.15|173.72|178.03|178.15|178.94|178.82|
||2008|185.84|185.78|187.25|188.4|188.84|189.61|190.49|191.33|194.22|196.48|197.66|197.75|
