|||Columns||||||||||||
Rows|||Turkey||||||||||||
|||||||||||||||
|||01-January|02-February|03-March|04-April|05-May|06-June|07-July|08-August|09-September|10-October|11-November|12-December|
||2007|108.73|101.69|101.41|112.88|125.69|127.32|117.5|109.12|110.89|120.0|125.16|123.59|
||2008|110.96|103.27|105.13|117.42|131.5|130.96|120.48|113.19|113.77|123.4|126.65|121.69|
||2009|111.67|105.44|105.51|117.06|130.48|129.45|121.74|115.38|114.21|123.79|129.42|125.81|
||2010|115.49|109.43|110.19|121.85|135.45|135.93|128.87|122.7|119.99|129.15|134.15|131.77|
||2011|121.54|115.28|116.17|128.84|143.89|144.81|137.8|131.81|127.54|137.73|145.43|142.28|
||2012|131.07|125.74|127.08|143.86|156.23|154.95|148.16|141.35|137.64|147.02|156.25|153.91|
||2013|143.22|134.11|135.26|152.5|165.99|163.1|155.46|149.84|146.43|160.43|165.68|161.41|
||2014|149.16|141.61|145.13|164.14|179.22|176.98|171.18|162.76|158.79|174.59|181.76|175.02|
||2015|162.8|152.09|153.7|172.6|189.96|187.45|178.13|170.44|165.74|184.69|194.6|190.75|
||2016|177.96|167.0|167.58|188.69|203.87|201.16|192.84|183.8|177.39|195.9|203.53|198.34|
||2017|184.48|178.3|181.85|198.45|210.3|207.68|200.39|194.19|195.75|218.28|226.52|221.1|
||2018|207.78|199.29|201.38|222.32|233.91|231.23|224.14|220.58|229.34|258.56|264.7|253.89|
||2019|233.7|222.45|223.47|235.45|245.08|241.24|233.52|230.94|235.87|263.47|270.55|265.38|
||2020|247.73|235.76|237.29|246.98|263.9|266.95|257.67|252.23|252.16|269.32|273.24|264.54|
||2021|252.97|250.63|254.93|274.23|279.07|285.77|279.67|271.06|270.62|291.07|296.01|317.78|
||2022|317.02|317.97|323.64|346.17|362.23|362.89|369.42|374.15|379.63|411.28|405.43|399.98|
||2023|393.88|386.93|379.52|394.01|432.83|439.11|453.1|490.5|503.18|572.29|570.51|562.93|
||2024|553.89|555.0|569.66|595.75|652.93|649.16|632.39|634.61|657.67|751.82|749.91|744.87|
||2025|706.36|670.64|654.04|696.54|745.1|743.1|699.84|694.85|722.1|811.8|817.35||
|031. (Clothing)|2005|109.61|101.85|97.89|105.61|117.0|118.21|108.62|102.94|103.08|111.17|114.87|113.65|
||2006|106.36|96.99|94.05|103.51|117.46|118.84|109.99|102.1|102.6|112.98|118.89|116.12|
||2007|105.82|98.62|97.56|108.56|123.53|125.32|115.14|106.83|106.86|115.66|120.89|119.06|
||2008|107.13|99.43|100.53|112.1|128.6|128.23|117.98|110.59|109.4|118.68|121.98|116.98|
||2009|107.1|101.11|100.87|111.61|126.64|126.24|119.23|112.57|109.36|118.82|124.76|121.25|
||2010|111.21|105.21|105.44|117.18|132.78|133.73|126.87|120.4|116.19|125.01|130.13|127.58|
||2011|116.96|111.05|111.67|124.44|141.86|143.16|136.14|129.68|123.99|133.72|141.77|138.06|
||2012|127.07|121.74|122.4|139.15|153.43|151.74|145.23|138.92|133.66|142.77|152.47|149.51|
||2013|138.63|130.09|130.55|148.12|162.69|159.35|151.72|146.12|140.89|155.66|161.03|156.01|
||2014|144.03|136.96|139.27|158.45|175.48|172.76|166.92|158.47|152.7|168.61|176.06|168.65|
||2015|156.76|146.69|147.25|166.14|185.07|182.3|173.05|165.29|158.76|177.93|188.12|183.31|
||2016|170.6|160.4|159.72|180.76|197.63|195.03|187.33|177.92|170.08|188.98|196.95|191.27|
||2017|177.38|171.6|174.84|191.32|203.81|201.02|193.5|187.28|188.96|211.22|219.66|213.91|
||2018|200.5|192.08|194.18|216.22|227.24|224.64|217.32|213.49|222.3|252.34|258.36|246.28|
||2019|224.46|211.52|211.72|223.56|233.67|229.92|222.15|219.51|224.25|252.15|258.45|253.09|
||2020|235.24|223.33|224.46|237.15|255.43|256.58|245.69|239.94|240.7|259.44|262.83|253.91|
||2021|242.31|239.48|243.61|263.91|270.28|277.86|271.83|263.09|262.17|282.21|286.17|309.09|
||2022|306.05|305.23|309.52|331.57|349.02|349.03|353.69|358.1|362.71|395.97|387.73|382.95|
||2023|376.21|367.92|359.07|372.87|420.02|427.57|442.06|476.8|488.05|556.48|555.37|546.8|
||2024|534.96|533.65|550.13|573.78|631.73|629.04|613.44|613.47|635.61|736.54|738.63|740.37|
||2025|699.92|656.3|635.08|680.89|736.66|733.17|683.65|676.34|704.62|799.27|802.22||
|032. (Footwear)|2005|114.09|106.78|104.85|115.87|120.16|120.38|113.66|108.45|112.66|119.04|123.94|124.78|
||2006|117.56|109.86|106.95|114.28|118.35|118.12|111.81|104.94|113.6|123.13|127.53|126.2|
||2007|117.25|110.79|113.08|126.01|131.58|132.65|124.11|115.59|123.1|133.12|137.98|137.32|
||2008|122.48|114.93|119.37|133.97|139.48|138.33|127.25|120.43|127.12|137.8|140.81|136.09|
||2009|125.79|118.84|120.03|134.26|141.53|138.21|128.17|123.04|129.29|139.06|143.49|139.58|
||2010|128.47|122.37|125.05|136.11|141.95|140.64|133.03|128.14|131.11|141.25|145.7|144.0|
||2011|135.46|128.06|129.92|141.91|147.96|147.46|140.66|136.49|137.52|149.17|155.41|154.36|
||2012|142.61|137.35|141.06|157.62|163.14|163.31|155.66|147.19|148.98|159.12|166.53|166.42|
||2013|156.63|145.67|149.24|164.96|174.38|173.16|165.61|160.04|163.12|174.13|178.82|177.29|
||2014|164.32|155.23|163.05|181.01|188.74|188.26|182.74|174.64|177.23|192.3|198.25|194.09|
||2015|180.94|168.15|173.61|192.09|203.19|201.7|192.38|185.14|187.29|204.95|213.59|213.34|
||2016|200.65|187.11|192.48|213.21|221.48|218.44|207.99|200.65|199.89|216.37|222.46|219.29|
||2017|206.09|198.53|203.17|219.64|228.41|226.61|220.53|214.64|215.69|238.41|245.52|241.67|
||2018|229.19|220.7|222.69|238.54|251.99|249.08|243.16|240.74|249.01|274.03|280.42|275.0|
||2019|261.54|257.03|261.13|273.27|280.8|276.74|269.44|267.13|272.63|298.31|308.09|303.8|
||2020|287.23|275.3|278.25|276.96|288.63|298.47|295.13|290.93|287.89|298.99|304.78|297.0|
||2021|286.21|286.22|291.06|304.74|302.49|304.82|298.76|291.25|292.98|314.13|323.11|338.51|
||2022|348.0|356.86|368.38|391.79|400.65|404.22|418.77|424.64|433.7|456.33|461.56|453.38|
||2023|450.19|449.02|447.88|464.55|467.46|468.27|479.57|526.37|544.43|613.41|608.95|605.8|
||2024|608.36|619.19|625.92|660.79|712.67|704.7|683.87|694.86|720.68|783.89|765.98|733.84|
||2025|704.48|701.33|703.66|731.39|749.63|753.6|736.7|741.11|763.21|829.89|845.49||
|04. (Housing, Water, Electricity, Gas And Other Fuels)|2005|115.51|116.11|117.37|117.82|117.47|118.14|119.17|120.25|122.41|124.21|125.51|126.06|
||2006|127.66|129.22|130.0|130.27|130.92|133.77|136.12|137.72|139.12|140.91|142.74|143.76|
||2007|145.46|146.18|146.77|147.17|147.72|148.3|149.12|150.17|151.62|152.6|158.72|160.26|
||2008|167.09|167.74|168.36|169.57|170.26|172.48|181.69|185.55|186.84|193.93|197.97|196.92|
||2009|198.29|196.32|196.08|194.05|190.34|191.67|192.3|193.73|194.96|199.1|200.48|201.47|
||2010|204.52|205.32|205.73|205.97|206.77|207.72|208.3|208.61|209.3|209.69|210.91|213.37|
||2011|214.61|214.32|215.14|215.98|217.15|217.67|217.79|218.96|220.34|228.25|229.64|230.86|
||2012|233.9|235.3|236.84|244.29|244.39|244.72|243.22|244.88|246.9|255.07|256.49|257.11|
||2013|258.91|259.55|260.14|260.56|260.46|261.19|262.35|263.24|265.05|266.0|267.16|269.55|
||2014|270.87|272.11|272.73|273.39|274.37|275.02|276.55|277.42|278.79|286.99|287.58|287.95|
||2015|291.19|292.52|294.63|295.84|297.19|298.09|299.08|300.13|301.88|304.33|305.97|307.28|
||2016|312.53|313.65|314.16|315.33|316.53|318.01|319.08|320.59|321.92|321.16|323.94|327.01|
||2017|332.97|336.91|338.37|339.09|340.46|341.51|343.02|345.46|348.08|351.34|355.72|358.47|
||2018|366.86|368.78|370.39|375.15|378.73|382.64|386.86|401.77|424.11|441.7|443.79|443.54|
||2019|429.81|429.84|430.98|432.57|434.32|435.43|448.94|458.1|467.95|484.55|486.29|487.44|
||2020|493.27|495.65|496.96|495.39|497.06|500.54|505.21|510.03|514.76|525.13|530.64|534.18|
||2021|550.29|553.6|557.45|562.76|567.03|573.7|602.77|608.49|622.72|636.97|656.84|686.8|
||2022|816.66|828.85|844.12|906.81|927.17|1004.5|1024.47|1045.5|1149.98|1179.49|1201.03|1235.1|
||2023|1275.95|1292.22|1317.8|1298.41|1119.36|1152.79|1222.27|1306.51|1381.78|1485.92|1651.9|1733.98|
||2024|1862.79|1926.26|1992.11|2019.68|2162.66|2244.67|2425.99|2632.54|2734.12|2814.23|2881.78|2931.02|
||2025|3146.2|3290.27|3359.26|3515.72|3621.0|3715.79|3930.4|4035.02|4138.33|4248.26|4320.35||
|041. (Actual Rentals For Housing)|2005|133.14|134.79|136.23|137.22|138.92|141.32|144.04|147.83|151.3|154.0|155.8|157.42|
||2006|159.49|162.26|163.84|165.52|167.5|169.88|173.56|177.0|181.21|184.22|186.84|188.92|
||2007|191.92|194.45|196.37|198.45|200.8|202.91|205.81|208.71|212.17|215.33|217.52|219.17|
||2008|221.53|223.73|225.29|227.02|228.96|231.46|234.0|236.52|239.75|242.66|244.18|245.14|
||2009|246.98|248.05|248.84|249.68|250.68|251.68|252.86|254.16|255.29|256.48|257.43|258.09|
||2010|259.11|259.84|260.58|261.22|261.8|262.28|263.42|264.5|265.7|266.77|267.78|268.31|
||2011|269.31|270.23|271.2|271.97|272.9|273.89|275.05|275.93|277.59|279.03|280.21|280.96|
||2012|281.93|282.91|283.46|284.55|285.5|287.05|288.48|290.21|291.6|293.54|295.21|296.29|
||2013|297.54|298.62|299.99|301.5|302.87|304.75|306.3|308.02|309.94|311.75|313.86|315.56|
||2014|317.12|318.48|319.67|321.13|323.04|325.48|327.65|329.92|332.79|335.33|336.95|338.72|
||2015|340.63|342.26|343.69|345.63|347.76|349.78|352.5|355.12|358.09|360.65|363.26|364.9|
||2016|367.72|369.7|371.46|374.64|377.52|380.66|383.45|386.79|390.14|393.52|395.93|398.85|
||2017|402.21|404.44|406.37|408.55|411.66|414.2|417.84|421.01|425.59|429.14|432.79|435.6|
||2018|439.17|441.59|444.25|447.53|450.71|454.04|459.33|464.09|468.29|472.13|475.07|477.48|
||2019|483.82|486.57|489.21|492.19|496.11|500.36|506.03|511.22|515.8|519.41|522.62|525.49|
||2020|531.47|535.78|538.69|540.94|543.35|546.49|551.94|556.85|560.79|565.45|569.47|573.13|
||2021|580.19|585.08|588.44|591.93|596.17|600.78|606.68|613.76|621.66|628.6|636.01|643.07|
||2022|660.79|675.49|686.71|699.54|715.5|737.75|769.01|802.85|846.58|887.82|917.36|945.76|
||2023|1037.93|1065.53|1117.68|1166.53|1226.59|1297.74|1397.23|1507.6|1651.08|1781.61|1888.02|1972.63|
||2024|2198.76|2354.09|2503.01|2618.5|2761.59|2902.27|3106.51|3335.71|3589.99|3787.55|3945.87|4059.98|
||2025|4411.61|4642.57|4800.06|4953.88|5107.42|5310.35|5558.99|5815.3|6070.7|6297.96|6455.01||
|043. (Maintenance And Repair Of The Dwelling)|2005|112.68|114.02|114.83|115.29|115.47|115.94|116.29|116.19|116.18|116.18|116.47|116.97|
||2006|117.36|117.83|117.34|117.6|119.11|123.4|126.46|127.53|128.22|128.72|128.98|129.47|
||2007|129.5|129.81|130.1|130.57|130.7|130.75|131.12|131.84|132.65|133.12|133.65|134.02|
||2008|134.1|134.79|135.48|136.65|138.38|139.93|141.93|143.49|144.25|145.08|146.2|147.36|
||2009|147.73|148.24|148.7|149.06|149.12|149.39|149.6|150.04|150.37|150.87|151.25|151.5|
||2010|151.69|152.11|152.5|152.75|152.94|153.2|153.34|153.6|154.06|154.5|155.09|155.55|
||2011|156.24|157.05|157.94|158.71|159.52|159.98|160.56|161.35|162.49|163.65|164.51|165.67|
||2012|166.65|168.37|169.56|171.37|172.57|173.36|173.86|174.52|175.04|175.76|176.41|177.1|
||2013|177.94|179.53|180.99|181.51|182.05|182.56|183.58|184.51|185.98|187.21|188.19|188.49|
||2014|190.59|194.51|197.0|198.18|199.89|200.86|201.75|202.54|203.36|204.35|205.25|205.99|
||2015|207.38|208.96|210.83|212.54|214.09|215.26|216.64|217.69|219.86|221.89|223.21|224.72|
||2016|226.47|228.15|229.56|231.54|233.28|234.72|235.55|236.76|237.76|238.7|240.28|245.33|
||2017|251.2|258.53|262.75|265.55|267.67|269.55|271.87|274.5|277.24|281.23|287.89|294.38|
||2018|302.07|308.66|311.93|317.77|325.46|335.04|341.6|357.88|408.66|430.03|434.86|436.82|
||2019|438.43|438.95|438.76|441.17|447.19|450.76|453.17|456.02|457.97|460.74|462.03|463.24|
||2020|464.17|465.16|467.08|469.88|471.91|476.69|481.76|490.32|506.63|523.54|545.85|556.66|
